timestamp,project_occupation,status,count
02/05/2016,Business services,open,501
,,,
02/05/2016,Clerical and data entry,closed,988
,,,
02/05/2016,Clerical and data entry,new,677
,,,
02/05/2016,Clerical and data entry,open,2337
,,,
02/05/2016,Creative and multimedia,closed,111
,,,
02/05/2016,Creative and multimedia,new,94
,,,
02/05/2016,Creative and multimedia,open,2370
,,,
02/05/2016,Sales and marketing support,closed,34
,,,
02/05/2016,Sales and marketing support,new,17
,,,
02/05/2016,Sales and marketing support,open,610
,,,
02/05/2016,Software development and technology,closed,374
,,,
02/05/2016,Software development and technology,new,227
,,,
02/05/2016,Software development and technology,open,6377
,,,
02/05/2016,Writing and translation,closed,70
,,,
02/05/2016,Writing and translation,new,47
,,,
02/05/2016,Writing and translation,open,1130
,,,
03/05/2016,Business services,closed,113
,,,
03/05/2016,Business services,new,133
,,,
03/05/2016,Business services,open,2770
,,,
03/05/2016,Clerical and data entry,closed,1176
,,,
03/05/2016,Clerical and data entry,new,1502
,,,
03/05/2016,Clerical and data entry,open,8038
,,,
03/05/2016,Creative and multimedia,closed,982
,,,
03/05/2016,Creative and multimedia,new,1033
,,,
03/05/2016,Creative and multimedia,open,6433
,,,
03/05/2016,Sales and marketing support,closed,542
,,,
03/05/2016,Sales and marketing support,new,580
,,,
03/05/2016,Sales and marketing support,open,5047
,,,
03/05/2016,Software development and technology,closed,2036
,,,
03/05/2016,Software development and technology,new,1996
,,,
03/05/2016,Software development and technology,open,17528
,,,
03/05/2016,Writing and translation,closed,783
,,,
03/05/2016,Writing and translation,new,808
,,,
03/05/2016,Writing and translation,open,8356
,,,
04/05/2016,Business services,closed,124
,,,
04/05/2016,Business services,new,159
,,,
04/05/2016,Business services,open,3058
,,,
04/05/2016,Clerical and data entry,closed,1522
,,,
04/05/2016,Clerical and data entry,new,1561
,,,
04/05/2016,Clerical and data entry,open,8805
,,,
04/05/2016,Creative and multimedia,closed,1366
,,,
04/05/2016,Creative and multimedia,new,1447
,,,
04/05/2016,Creative and multimedia,open,12297
,,,
04/05/2016,None,closed,14
,,,
04/05/2016,None,new,9
,,,
04/05/2016,None,open,89
,,,
04/05/2016,Sales and marketing support,closed,622
,,,
04/05/2016,Sales and marketing support,new,661
,,,
04/05/2016,Sales and marketing support,open,6683
,,,
04/05/2016,Software development and technology,closed,2260
,,,
04/05/2016,Software development and technology,new,2526
,,,
04/05/2016,Software development and technology,open,23060
,,,
04/05/2016,Writing and translation,closed,825
,,,
04/05/2016,Writing and translation,new,807
,,,
04/05/2016,Writing and translation,open,10508
,,,
05/05/2016,Business services,closed,137
,,,
05/05/2016,Business services,new,211
,,,
05/05/2016,Business services,open,3076
,,,
05/05/2016,Clerical and data entry,closed,1584
,,,
05/05/2016,Clerical and data entry,new,2037
,,,
05/05/2016,Clerical and data entry,open,8776
,,,
05/05/2016,Creative and multimedia,closed,1961
,,,
05/05/2016,Creative and multimedia,new,1872
,,,
05/05/2016,Creative and multimedia,open,11740
,,,
05/05/2016,None,closed,31
,,,
