timestamp	project_occupation	status	count
2016-05-03	Software development and technology	closed	2036
2016-05-03	Software development and technology	new	1996
2016-05-03	Software development and technology	open	17528
2016-05-03	Writing and translation	closed	783
2016-05-03	Writing and translation	new	808
2016-05-03	Writing and translation	open	8356
2016-05-04	Business services	closed	124
2016-05-04	Business services	new	159
2016-05-04	Business services	open	3058
2016-05-04	Clerical and data entry	closed	1522
2016-05-04	Clerical and data entry	new	1561
2016-05-04	Clerical and data entry	open	8805
2016-05-04	Creative and multimedia	closed	1366
2016-05-04	Creative and multimedia	new	1447
2016-05-04	Creative and multimedia	open	12297
2016-05-04	None	closed	14
2016-05-04	None	new	9
2016-05-04	None	open	89
2016-05-04	Sales and marketing support	closed	622
2016-05-04	Sales and marketing support	new	661
2016-05-04	Sales and marketing support	open	6683
2016-05-04	Software development and technology	closed	2260
2016-05-04	Software development and technology	new	2526
2016-05-04	Software development and technology	open	23060
2016-05-04	Writing and translation	closed	825
2016-05-04	Writing and translation	new	807
2016-05-04	Writing and translation	open	10508
2016-05-05	Business services	closed	137
2016-05-05	Business services	new	211
2016-05-05	Business services	open	3076
2016-05-05	Clerical and data entry	closed	1584
2016-05-05	Clerical and data entry	new	2037
2016-05-05	Clerical and data entry	open	8776
2016-05-05	Creative and multimedia	closed	1961
2016-05-05	Creative and multimedia	new	1872
2016-05-05	Creative and multimedia	open	11740
2016-05-05	None	closed	31
2016-05-05	None	new	8
2016-05-05	None	open	67
2016-05-05	Sales and marketing support	closed	719
2016-05-05	Sales and marketing support	new	740
2016-05-05	Sales and marketing support	open	6607
2016-05-05	Software development and technology	closed	2714
2016-05-05	Software development and technology	new	2763
2016-05-05	Software development and technology	open	22829
2016-05-05	Writing and translation	closed	997
2016-05-05	Writing and translation	new	978
2016-05-05	Writing and translation	open	10298
2016-05-06	Business services	closed	167
2016-05-06	Business services	new	177
2016-05-06	Business services	open	3120
2016-05-06	Clerical and data entry	closed	1715
2016-05-06	Clerical and data entry	new	1561
2016-05-06	Clerical and data entry	open	9098
2016-05-06	Creative and multimedia	closed	1878
2016-05-06	Creative and multimedia	new	1753
2016-05-06	Creative and multimedia	open	11734
2016-05-06	None	closed	13
2016-05-06	None	new	13
2016-05-06	None	open	62
2016-05-06	Sales and marketing support	closed	686
2016-05-06	Sales and marketing support	new	667
2016-05-06	Sales and marketing support	open	6661
2016-05-06	Software development and technology	closed	2864
2016-05-06	Software development and technology	new	2764
2016-05-06	Software development and technology	open	22728
2016-05-06	Writing and translation	closed	958
2016-05-06	Writing and translation	new	951
2016-05-06	Writing and translation	open	10318
2016-05-07	Business services	closed	126
2016-05-07	Business services	new	121
2016-05-07	Business services	open	3171
2016-05-07	Clerical and data entry	closed	1434
2016-05-07	Clerical and data entry	new	1719
2016-05-07	Clerical and data entry	open	9225
2016-05-07	Creative and multimedia	closed	1696
2016-05-07	Creative and multimedia	new	1537
