longitude,latitude
-104.990251,39.739236
-104.990251,39.739236
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
13.960129,50.97178
-90.221624,38.600423
-88.180356,30.696441
-88.180356,30.696441
-94.922464,39.311111
-90.221624,38.600423
-94.70262,43.919952
-89.302732,35.136443
-89.176461,37.005329
-86.781602,36.162664
-88.180356,30.696441
-86.299969,32.366805
-81.218693,35.706522
-81.218693,35.706522
-81.218693,35.706522
-81.218693,35.706522
-81.218693,35.706522
-81.218693,35.706522
-81.218693,35.706522
-85.57979,37.077508
-117.426047,47.65878
-117.426047,47.65878
-117.426047,47.65878
-117.426047,47.65878
-117.426047,47.65878
-117.426047,47.65878
-117.426047,47.65878
-117.426047,47.65878
-91.666352,44.055391
-91.666352,44.055391
-91.666352,44.055391
-91.666352,44.055391
-91.666352,44.055391
-91.666352,44.055391
-91.666352,44.055391
-91.666352,44.055391
-91.666352,44.055391
-91.666352,44.055391
-91.666352,44.055391
-91.666352,44.055391
-117.426047,47.65878
-91.666352,44.055391
-108.835033,51.799528
-79.866091,43.250021
-79.866091,43.250021
-79.866091,43.250021
-87.906474,43.038903
-87.906474,43.038903
-87.906474,43.038903
-87.906474,43.038903
-78.878369,42.886447
-79.866091,43.250021
-78.878369,42.886447
-78.878369,42.886447
-78.878369,42.886447
-78.878369,42.886447
-108.835033,51.799528
-87.906474,43.038903
-87.906474,43.038903
-87.906474,43.038903
-87.906474,43.038903
-87.906474,43.038903
8.801694,53.079296
-87.657584,44.088606
-87.657584,44.088606
-117.853112,33.787794
-84.51202,39.103118
-84.51202,39.103118
-84.51202,39.103118
-84.51202,39.103118
-84.51202,39.103118
-84.51202,39.103118
-84.51202,39.103118
-84.51202,39.103118
-84.51202,39.103118
-84.495776,39.091449
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-84.495776,39.091449
-84.495776,39.091449
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-91.434598,40.359211
-91.434598,40.359211
-91.434598,40.359211
-91.434598,40.359211
-91.396397,40.404473
-91.396397,40.404473
-84.51202,39.103118
-84.51202,39.103118
-92.649359,41.291673
-84.51202,39.103118
-92.649359,41.291673
-84.495776,39.091449
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-84.495776,39.091449
-84.495776,39.091449
-92.649359,41.291673
-92.649359,41.291673
-92.649359,41.291673
-91.434598,40.359211
-91.434598,40.359211
